Series Name,Series Code,Country Name,Country Code,Year.1,Value
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1990,7.466
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1991,7.479
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1992,7.502
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1993,7.535
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1994,7.572
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1995,7.606
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1996,7.63
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1997,7.636
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1998,7.617
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,1999,7.571
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2000,7.496
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2001,7.395
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2002,7.273
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2003,7.137
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2004,6.987
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2005,6.822
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2006,6.639
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2007,6.437
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2008,6.218
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2009,5.985
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2010,5.746
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2011,5.506
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2012,5.272
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2013,5.05
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,2014,4.843
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1967,5.394
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1968,5.218
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1969,5.057
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1970,4.91
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1971,4.775
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1972,4.642
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1973,4.509
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1974,4.373
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1975,4.235
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1976,4.099
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1977,3.966
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1978,3.841
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1979,3.725
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1980,3.621
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1981,3.53
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1982,3.452
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1983,3.383
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1984,3.323
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1985,3.269
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1986,3.217
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1987,3.164
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1988,3.108
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1989,3.046
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1990,2.978
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1991,2.905
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1992,2.829
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1993,2.751
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1994,2.672
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1995,2.591
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1996,2.508
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1997,2.423
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1998,2.337
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1999,2.249
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2000,2.16
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2001,2.068
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2002,1.975
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2003,1.884
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2004,1.798
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2005,1.724
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2006,1.668
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2007,1.635
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2008,1.625
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2009,1.636
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2010,1.663
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2011,1.699
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2012,1.735
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2013,1.765
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2014,1.784
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1967,7.672
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1968,7.666
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1969,7.656
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1970,7.643
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1971,7.624
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1972,7.597
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1973,7.558
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1974,7.505
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1975,7.434
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1976,7.344
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1977,7.234
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1978,7.105
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1979,6.957
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1980,6.794
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1981,6.617
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1982,6.43
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1983,6.237
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1984,6.038
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1985,5.835
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1986,5.627
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1987,5.412
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1988,5.191
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1989,4.962
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1990,4.726
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1991,4.479
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1992,4.223
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1993,3.962
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1994,3.702
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1995,3.448
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1996,3.208
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1997,2.988
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1998,2.796
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,1999,2.635
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2000,2.514
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2001,2.438
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2002,2.404
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2003,2.407
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2004,2.441
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2005,2.499
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2006,2.576
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2007,2.661
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2008,2.744
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2009,2.818
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2010,2.873
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2011,2.903
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2012,2.909
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2013,2.893
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2014,2.857
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,ADO,2006,1.24
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,ADO,2007,1.18
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,ADO,2008,1.25
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,ADO,2009,1.19
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,ADO,2010,1.27
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1967,7.401
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1968,7.394
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1969,7.385
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1970,7.375
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1971,7.367
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1972,7.36
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1973,7.355
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1974,7.352
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1975,7.35
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1976,7.349
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1977,7.347
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1978,7.343
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1979,7.337
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1980,7.329
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1981,7.319
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1982,7.309
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1983,7.299
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1984,7.289
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1985,7.279
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1986,7.268
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1987,7.256
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1988,7.242
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1989,7.226
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1990,7.208
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1991,7.187
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1992,7.164
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1993,7.139
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1994,7.112
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1995,7.083
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1996,7.051
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1997,7.017
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1998,6.981
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,1999,6.943
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2000,6.905
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2001,6.866
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2002,6.829
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2003,6.792
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2004,6.755
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2005,6.716
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2006,6.671
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2007,6.619
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2008,6.559
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2009,6.492
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2010,6.416
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2011,6.335
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2012,6.251
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2013,6.165
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,2014,6.08
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1967,4.042
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1968,3.942
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1969,3.824
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1970,3.684
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1971,3.517
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1972,3.328
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1973,3.122
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1974,2.908
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1975,2.701
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1976,2.514
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1977,2.358
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1978,2.239
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1979,2.159
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1980,2.115
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1981,2.098
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1982,2.096
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1983,2.098
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1984,2.098
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1985,2.092
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1986,2.082
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1987,2.07
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1988,2.062
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1989,2.058
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1990,2.061
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1991,2.073
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1992,2.096
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1993,2.128
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1994,2.166
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1995,2.208
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1996,2.248
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1997,2.281
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1998,2.304
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1999,2.316
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2000,2.316
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2001,2.305
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2002,2.288
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2003,2.268
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2004,2.246
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2005,2.224
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2006,2.203
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2007,2.183
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2008,2.164
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2009,2.146
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2010,2.13
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2011,2.115
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2012,2.102
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2013,2.088
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2014,2.075
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1967,3.048
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1968,3.049
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1969,3.056
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1970,3.073
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1971,3.104
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1972,3.148
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1973,3.203
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1974,3.264
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1975,3.321
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1976,3.366
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1977,3.391
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1978,3.391
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1979,3.368
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1980,3.325
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1981,3.27
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1982,3.213
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1983,3.163
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1984,3.123
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1985,3.093
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1986,3.073
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1987,3.056
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1988,3.037
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1989,3.016
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1990,2.989
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1991,2.954
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1992,2.913
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1993,2.866
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1994,2.815
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1995,2.762
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1996,2.711
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1997,2.664
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1998,2.623
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,1999,2.589
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2000,2.561
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2001,2.537
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2002,2.516
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2003,2.495
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2004,2.474
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2005,2.452
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2006,2.432
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2007,2.413
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2008,2.396
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2009,2.382
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2010,2.37
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2011,2.358
